fix		1 all npt temp 300 300 1 y 0 0 1000 z 0 0 1000
fix		2 all deform 1 x erate 1e-5 units box remap x

run		200000
PPPM initialization ...
  using 12-bit tables for long-range coulomb (../kspace.cpp:342)
  G vector (1/distance) = 0.17300879
  grid = 24 24 20
  stencil order = 5
  estimated absolute RMS force accuracy = 0.031818741
  estimated relative force accuracy = 9.5821193e-05
  using double precision KISS FFT
  3d grid and FFT values/proc = 1210 216
Generated 440391 of 440391 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 13
  ghost atom cutoff = 13
  binsize = 6.5, bins = 17 16 16
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/coul/long, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 23.38 | 23.72 | 24.17 Mbytes
   Step          Temp          TotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz           Volume    
     18600   301.23368      145627.79      116.83859      95.460883      93.197654     -313.1038      -1013.3299      398.47573     -324.45728      1039481.5    
     18700   301.03982      145159.36      116.89204      95.438804      93.173414     -451.17369     -925.27396     -322.07777     -106.16935      1039446      
     18800   299.5277       144882.91      116.94549      95.411583      93.147892     -83.177292     -120.67453     -48.909185     -79.948163      1039339.9    
     18900   299.5224       144734.01      116.99894      95.389039      93.126674     -290.61871     -569.92472     -317.59573      15.66432       1039332.5    
     19000   300.48133      144921.6       117.05239      95.364476      93.102511     -344.05544     -484.82808     -407.30978     -140.02845      1039269.8    
     19100   299.74811      144757.26      117.10584      95.334058      93.078003     -634.54852     -765.69376     -729.26551     -408.68629      1039139.1    
     19200   299.57061      144593.37      117.15929      95.299477      93.049875      3.4514487     -596.0333       208.74741      397.64024      1038922.2    
     19300   299.19131      144977.41      117.21273      95.265232      93.020213     -219.00062     -579.01688      87.472141     -165.45711      1038691.4    
     19400   301.97899      145799.68      117.26618      95.237016      92.987045     -24.568452     -437.31578      456.1355      -92.525074      1038486.9    
     19500   299.67855      144584.25      117.31963      95.210795      92.960715     -145.9826      -396.22811     -196.76511      155.04543      1038380.1    
     19600   300.43354      144668.61      117.37308      95.182357      92.938237     -592.81528     -953.24784     -323.3751      -501.8229       1038291.7    
     19700   299.10697      144800.25      117.42653      95.166007      92.919561     -262.03664     -766.15364     -51.620296      31.664006      1038377.4    
     19800   300.72573      145188.42      117.47998      95.144935      92.900631     -260.7006      -446.31564      189.45244     -525.2386       1038408.4    
